,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
367,Operation Varsity Blues,True,N/A,N/A,2021,R,17 Mar 2021,100 min,"Documentary, Crime, Drama",Chris Smith,Jon Karmen,"Matthew Modine, Roger Rignack, Jillian Peterson",Reenactments drive this documentary investigating the mastermind behind a scam to sneak the kids of rich and famous families into top US universities.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMGUwYjBiYzctY2FjZC00MWI4LWJmY2MtNGE1YTVjMzA0NGMxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.9,"8,060",tt14111734,movie,N/A,17 Mar 2021,N/A,N/A,N/A
368,The Last Blockbuster,True,N/A,N/A,2020,TV-14,15 Dec 2020,86 min,Documentary,Taylor Morden,Zeke Kamm,"Lauren Lapkus, Sandi Harding, Ken Tisher","A documentary on the last remaining Blockbuster Video, located in Bend, Oregon.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNjRhY2YwYzItOGY4My00ZjNjLTg4NDktN2YyNGM1ODA5ZGRmXkEyXkFqcGdeQXVyNzE5OTQzMDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.7,"5,339",tt8704802,movie,N/A,15 Dec 2020,N/A,N/A,N/A
369,Deadly Illusions,True,N/A,N/A,2021,R,18 Mar 2021,114 min,"Drama, Thriller",Anna Elizabeth James,Anna Elizabeth James,"Dermot Mulroney, Kristin Davis, Shanola Hampton","After a bestselling novelist suffering from writer's block hires a new nanny for her children, the line between fiction and reality starts to blur.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzRhOTQwM2EtNDM3Yy00YzE4LTliZWMtODkwOGI1MzY5ZDkzXkEyXkFqcGdeQXVyMTY2OTk3NjA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,"11,865",tt7897330,movie,N/A,N/A,N/A,N/A,N/A
370,Skylines,True,N/A,N/A,2020,R,18 Dec 2020,113 min,"Action, Adventure, Sci-Fi",Liam O'Donnell,"Matthew E. Chausse, Liam O'Donnell","Lindsey Morgan, Jonathan Howard, Daniel Bernhardt","When a virus threatens to turn the now earth-dwelling friendly alien hybrids against humans, Captain Rose Corley must lead a team of elite mercenaries on a mission to the alien world in order to save what's left of humanity.",English,"United Kingdom, United States",1 win,https://m.media-amazon.com/images/M/MV5BNmUzMWNiMWQtMGU0Ni00NTY4LWJlMDctMDhjYjJiOTA4NTRlXkEyXkFqcGdeQXVyNjI2ODQwNzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,4.7,"7,902",tt9387250,movie,N/A,18 Dec 2020,N/A,N/A,N/A
371,Jiu Jitsu,True,N/A,N/A,2020,R,20 Nov 2020,102 min,"Action, Sci-Fi, Thriller",Dimitri Logothetis,"Dimitri Logothetis, Jim McGrath","Alain Moussi, Nicolas Cage, Raymond Pinharry","Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOWU2YzRlYzYtNDE0Mi00NzhkLTkxYWItZDMxNmQxZmRjZWY2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '2.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '28%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,2.9,"8,463",tt9624766,movie,N/A,20 Nov 2020,N/A,N/A,N/A
372,Country Comfort,True,N/A,N/A,2021,TV-PG,19 Mar 2021,N/A,"Comedy, Drama, Family",N/A,Caryn Lucas,"Katharine McPhee, Eddie Cibrian, Ricardo Hurtado",An aspiring young country singer (Katharine McPhee) finds the band she's been missing when she takes a job as nanny for a musically talented family: a rugged cowboy (Eddie Cibrian) and his five children.,English,United States,Won 1 Primetime Emmy. 2 wins total,https://m.media-amazon.com/images/M/MV5BNTFkMTY1MDctMzg1MS00YmVkLWIwYTAtNDU5MTgyOTA5ZjRlXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"3,269",tt11717394,series,1,N/A,N/A,N/A,N/A
373,Who Killed Sara?,True,N/A,N/A,2021–,TV-MA,24 Mar 2021,N/A,"Crime, Drama, Mystery",N/A,José Ignacio Valenzuela,"Carolina Miranda, Rocco Narva, Manolo Cardona","Hell-bent on exacting revenge and proving he was framed for his sister's murder, Álex sets out to unearth much more than the crime's real culprit.",Spanish,Mexico,1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BYWZlOTM3ZjAtZDlkOC00ZjRlLWI0YTEtYTk0NzFjMWEzMDczXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"12,056",tt11937816,series,2,N/A,N/A,N/A,N/A
374,Seaspiracy,True,N/A,N/A,2021,TV-MA,24 Mar 2021,89 min,"Documentary, Adventure",Ali Tabrizi,N/A,"Ali Tabrizi, Richard O'Barry, Lucy Tabrizi","Passionate about ocean life, a filmmaker sets out to document the harm that humans do to marine species - and uncovers alarming global corruption.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjA0MmZlNTctMzQyNS00MDQyLWFkNGItZDRiMGMxYzg2MDIyXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}]",N/A,8.1,"29,756",tt14152756,movie,N/A,24 Mar 2021,N/A,N/A,N/A
375,Secret Magic Control Agency,True,N/A,N/A,2021,TV-Y7,25 Mar 2021,103 min,"Animation, Adventure, Comedy",Aleksey Tsitsilin,"Analisa LaBianco, Vladimir Nikolaev, Jeffery Spencer","Nicholas Corda, Sylvana Joyce, Alyson Leigh Rosenfeld","The Secret Magic Control Agency sends its two best agents, Hansel and Gretel, to fight against the witch of the Gingerbread House.",English,"Russia, United States",1 win,https://m.media-amazon.com/images/M/MV5BNjkyNzQ4ODItMTkwZi00ODY3LWI3MzgtZDAyZjJiOWEwMDYxXkEyXkFqcGdeQXVyODk0OTc5NTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"3,895",tt13932162,movie,N/A,25 Mar 2021,N/A,N/A,N/A
376,Bad Trip,True,N/A,N/A,2021,Unrated,26 Mar 2021,86 min,Comedy,Kitao Sakurai,"Eric André, Kitao Sakurai, Andrew Barchilon","Eric André, Michaela Conlin, Lil Rel Howery",This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real...,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNDgzMTgxOTktNmM2Ny00Nzk5LTgxNjAtNzJlNjBjNjMyOWZkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",61,6.5,"23,918",tt9684220,movie,N/A,26 Mar 2021,N/A,N/A,N/A
377,A Week Away,True,N/A,N/A,2021,TV-PG,26 Mar 2021,94 min,"Drama, Family, Musical",Roman White,"Alan Powell, Kali Bailey, Gabe Vasquez","Kevin Quinn, Bailee Madison, Jahbril Cook","With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTFmZTczNjUtNDk0Mi00NGI2LTliNmItYzg5MmY4YTk1NmNmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,5.8,"4,426",tt11388278,movie,N/A,26 Mar 2021,N/A,N/A,N/A
378,The Secret Life of Pets 2,True,N/A,N/A,2019,PG,07 Jun 2019,86 min,"Animation, Adventure, Comedy","Chris Renaud, Jonathan del Val","Brian Lynch, Ken Daurio, Cinco Paul","Patton Oswalt, Kevin Hart, Harrison Ford","Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",English,United States,11 nominations,https://m.media-amazon.com/images/M/MV5BMzdlMWQzZmItMDA5Ny00MGFjLTk0MDAtYjgzMmMyNTEwMzdhXkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,6.5,"60,016",tt5113040,movie,N/A,13 Aug 2019,"$158,874,395",N/A,N/A
379,The BFG,True,N/A,N/A,2016,PG,01 Jul 2016,117 min,"Adventure, Family, Fantasy",Steven Spielberg,"Melissa Mathison, Roald Dahl","Mark Rylance, Ruby Barnhill, Penelope Wilton","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.","English, Hindi","United States, India, United Kingdom",Nominated for 1 BAFTA Award4 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BNjAzOTUzNTY3Ml5BMl5BanBnXkFtZTgwMjYwNzE5ODE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '74%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.3,"84,572",tt3691740,movie,N/A,29 Nov 2016,"$55,483,770",N/A,N/A
380,The Irregulars,True,N/A,N/A,2021,TV-14,26 Mar 2021,N/A,"Crime, Drama, Fantasy",N/A,Tom Bidwell,"McKell David, Thaddea Graham, Jojo Macari","Set in Victorian London, the series follows a gang of troubled street teens who are manipulated into solving crimes for the sinister Doctor Watson and his mysterious business partner, the elusive Sherlock Holmes.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZDRmNjVmODUtZjc0Zi00YTVkLWJhZjYtNjRjYmJiMjU4ODJkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"14,691",tt10893694,series,1,N/A,N/A,N/A,N/A
381,Big Time Rush,True,N/A,N/A,2009–2013,TV-G,28 Nov 2009,25 min,"Comedy, Family, Musical",N/A,Scott Fellows,"Kendall Schmidt, James Maslow, Carlos PenaVega","Four hockey players from Minnesota aspire to become a boyband. Kendall, Logan, Carlos, and James embark on a life-changing journey and face challenges along the way.",English,United States,Nominated for 1 BAFTA Award4 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMjIzNDE4MTM2Ml5BMl5BanBnXkFtZTcwNjYyNTA2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",N/A,6.3,"12,004",tt1131746,series,4,N/A,N/A,N/A,N/A
382,Octonauts and the Caves of Sac Actun,True,N/A,N/A,2020,N/A,14 Aug 2020,72 min,"Animation, Adventure, Comedy",Blair Simmons,"Vicki Wong, Michael Murphy, Gabe Pulliam","Teresa Gallagher, Simon Greenall, Michael Murphy","The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTZmZTRlYTItZGYyYi00ODNkLTg1ZTMtMDc1ZDk5ZGU1MTI3XkEyXkFqcGdeQXVyMzAzMzkzNTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,177,tt12759408,movie,N/A,N/A,N/A,N/A,N/A
383,Friends with Benefits,True,N/A,N/A,2011,R,22 Jul 2011,109 min,"Comedy, Romance",Will Gluck,"Keith Merryman, David A. Newman, Will Gluck","Mila Kunis, Justin Timberlake, Patricia Clarkson","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.",English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMTQ2MzQ0NTk4N15BMl5BanBnXkFtZTcwMDc2NDYzNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,6.5,"361,057",tt1632708,movie,N/A,02 Dec 2011,"$55,802,754",N/A,N/A
384,Concrete Cowboy,True,N/A,N/A,2020,R,02 Apr 2021,111 min,"Drama, Western",Ricky Staub,"G. Neri, Ricky Staub, Dan Walser","Idris Elba, Caleb McLaughlin, Lorraine Toussaint","Sent to live with his estranged father for the summer, a rebellious teen finds kinship in a tight-knit Philadelphia community of Black cowboys.",English,"United Kingdom, United States",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BODRlNjNhNDctMTJjYS00Y2Q4LTk1MGEtYTdiMDlkYWNkNGFjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,6.3,"8,517",tt8846176,movie,N/A,02 Apr 2021,N/A,N/A,N/A
385,Hasta el cielo,True,N/A,N/A,2022,N/A,N/A,N/A,Thriller,N/A,N/A,"Luis Tosar, Álvaro Rico, Asia Ortega",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMzFjMmYyMjEtNDU1ZS00MzlkLWFiNzgtNjQxOTI1YzUyOWRhXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt18273742,series,N/A,N/A,N/A,N/A,N/A
386,Worn Stories,True,N/A,N/A,2021,TV-MA,01 Apr 2021,30 min,Documentary,N/A,N/A,"Timmy Cappello, Simon Doonan, Emily Spivack","In this funny, heartfelt and moving docuseries, real people unpack the fascinating and quirky stories around their most meaningful pieces of clothing.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BY2RlZjNhNjEtY2JjMC00MjAwLTk1ODAtM2Y3OWJmOWM0NWJhXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,309,tt14177168,series,1,N/A,N/A,N/A,N/A
387,The Serpent,True,N/A,N/A,2021,TV-MA,02 Apr 2021,58 min,"Crime, Drama, Thriller",N/A,N/A,"Tahar Rahim, Billy Howle, Jenna Coleman","The twisting, real-life story of Charles Sobhraj, a murderer, thief and seductive master of disguise, who was a hidden darkness in the mid-70's on Asia's hippie trail.","English, French, Thai, Dutch",United Kingdom,Nominated for 2 BAFTA 11 nominations total,https://m.media-amazon.com/images/M/MV5BZTdmOTE0YzEtMDgxOS00NzBiLTllMDktMDU4NGZlZTk3YWJjXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"41,506",tt7985576,series,1,N/A,N/A,N/A,N/A
388,White Boy,True,N/A,N/A,2017,TV-14,29 May 2018,82 min,"Documentary, Crime",Shawn Rech,"Brandon Kimber, Seth Ferranti","Richard Wershe Jr., Scott M. Burnstein, Dana Hathaway","In 1980's Detroit, 17 year-old Richard Wershe, Jr. allegedly ran a sophisticated inner-city drug dealing operation. Now, journalists, police, federal agents and hit men are speaking for the first time about the legend of ""White Boy R",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BNjg5NmM0NjgtY2YxYy00YTE3LWFhOTItNmRiOGUxZWJiMDRjXkEyXkFqcGdeQXVyMjc5MTg0MzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"1,730",tt5635638,movie,N/A,02 Jun 2018,N/A,N/A,N/A
389,What Lies Below,True,N/A,N/A,2020,TV-MA,04 Dec 2020,87 min,"Horror, Mystery, Sci-Fi",Braden R. Duemmler,Braden R. Duemmler,"Ema Horvath, Troy Iwata, Danny Corbo","A 16-year-old girl returns home from camp and learns that her mother has a new boyfriend, one she intends to marry. A man whose charm, intelligence and beauty make him look like he's not human at all.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGQ4ZWM4NjctZDcwMS00OTJjLTljNmUtYWY4ODU3MjlkOGViXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '35/100'}]",35,4.3,"8,213",tt9264728,movie,N/A,04 Dec 2020,N/A,N/A,N/A
390,Sniper: Ghost Shooter,True,N/A,N/A,2016,R,02 Aug 2016,99 min,"Action, Drama, Thriller, War",Don Michael Paul,"Michael Frost Beckner (based on characters created by), Crash Leyland (based on characters created by), Chris Hauty (screenplay by)","Chad Michael Collins, Billy Zane, Dennis Haysbert, Nick Gomez",Snipers ordered to protect a gas pipeline from terrorists suspect a security breach when they're targeted by a ghost shooter who knows their location.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGFjOGVjNjctN2ZhZS00MWYxLTk3MGEtZWRjNTgzZmRkZjJlXkEyXkFqcGdeQXVyMjQ1MDE0NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}]",N/A,5.4,"3,292",tt5090828,movie,N/A,02 Aug 2016,N/A,N/A,N/A
391,Family Reunion,True,N/A,N/A,2019–2022,TV-PG,10 Jul 2019,28 min,"Comedy, Family",N/A,Meg DeLoatch,"Tia Mowry-Hardrict, Anthony Alabi, Talia Jackson","When the McKellan family moves from Seattle to Georgia to be closer to extended family, the transition is like being a catfish out of water.",English,United States,Nominated for 1 Primetime Emmy. 4 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BZjc4ZmYzZmYtMzgyYi00NGQ2LTgyNGMtYTJkNjQzNDFjODBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,"2,573",tt9153270,series,4,N/A,N/A,N/A,N/A
392,Saving Private Ryan,True,N/A,N/A,1998,R,24 Jul 1998,169 min,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Matt Damon, Tom Sizemore","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","English, French, German, Czech",United States,Won 5 Oscars. 79 wins & 75 nominations total,https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,8.6,"1,342,833",tt0120815,movie,N/A,25 May 2004,"$217,049,603",N/A,N/A
393,Legally Blonde,True,N/A,N/A,2001,PG-13,13 Jul 2001,96 min,"Comedy, Romance",Robert Luketic,"Amanda Brown, Karen McCullah, Kirsten Smith","Reese Witherspoon, Luke Wilson, Selma Blair","Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks.",English,United States,6 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.4,"209,619",tt0250494,movie,N/A,06 Nov 2001,"$96,520,674",N/A,N/A
394,This is a Robbery: The Worl…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
395,Thunder Force,True,N/A,N/A,2021,PG-13,09 Apr 2021,106 min,"Action, Adventure, Comedy",Ben Falcone,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman","In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",English,United States,2 nominations.,https://m.media-amazon.com/images/M/MV5BMWZkM2I2NjEtNWM0Mi00MTgwLWJlYTAtYmNkZWYzNmQ1ZTBiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '21%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,4.4,"40,526",tt10121392,movie,N/A,09 Apr 2021,N/A,N/A,N/A
396,The Little Rascals,True,N/A,N/A,1994,PG,05 Aug 1994,82 min,"Comedy, Family, Romance",Penelope Spheeris,"Penelope Spheeris, Robert Wolterstorff, Mike Scott","Travis Tedford, Bug Hall, Brittany Ashton Holmes","Alfalfa is wooing Darla and his ""He-Man-Woman-Hating"" friends attempt to sabotage the relationship.",English,United States,2 wins,https://m.media-amazon.com/images/M/MV5BM2JlNzMzM2MtY2M0Mi00ZjcxLWFkOTYtYzk1ZTY4MDA2NjFhXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '23%'}, {'Source': 'Metacritic', 'Value': '45/100'}]",45,6.3,"48,539",tt0110366,movie,N/A,30 Apr 2004,"$52,125,282",N/A,N/A
397,The Stand-in,True,N/A,N/A,1999,PG,N/A,100 min,Drama,Roberto Monticello,Robbie Bryan,"Robbie Bryan, Daniel Margotta, David Ogden Stiers",A young man is guided by an angel to follow his dream of becoming an actor.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BOTcxODAzNjQxMV5BMl5BanBnXkFtZTYwNTE4ODk5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,144,tt0234793,movie,N/A,N/A,N/A,N/A,N/A
398,"Nicky, Ricky, Dicky & Dawn",True,N/A,N/A,2014–2018,TV-G,13 Sep 2014,30 min,"Comedy, Family",N/A,"Michael Feldman, Matt Fleckenstein","Lizzy Greene, Casey Simpson, Aidan Gallagher","11-year-old Nicky, Ricky, Dicky, and Dawn Harper's sibling rivalry are heightened by the fact that they are quadruplets.",English,United States,Won 1 Primetime Emmy. 2 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BY2UzZmU0NTAtZmRjMS00OWY5LWI1MmMtYzNhOTg1MzI4Y2ZhXkEyXkFqcGdeQXVyODg3NDc1OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,"2,520",tt3596176,series,4,N/A,N/A,N/A,N/A
399,Dad Stop Embarrassing Me!,True,N/A,N/A,2021,TV-PG,14 Apr 2021,25 min,"Comedy, Family",N/A,"Jamie Foxx, Jim Patterson","Jamie Foxx, Kyla-Drew, Porscha Coleman",A single dad and cosmetics brand owner figures out fatherhood on the fly when his strong-minded teen daughter moves in with him.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNTM5MzRiODYtMTRiZC00OTFiLWFiMDUtNjBkMGI4YzYxYjAzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,"1,845",tt13018090,series,1,N/A,N/A,N/A,N/A
